subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate
89,451.151724137931,1.0,0.0,735.3649635036496,0.927007299270073,0.07299270072992703,326.8606965174129,0.9402985074626866,0.05970149253731338
90,428.04137931034484,1.0,0.0,706.3142857142857,0.95,0.050000000000000044,381.9656862745098,0.9656862745098039,0.03431372549019607
91,397.2344827586207,0.9724137931034482,0.02758620689655178,582.2071428571429,0.8928571428571429,0.1071428571428571,408.171568627451,0.9362745098039216,0.06372549019607843
92,397.6758620689655,1.0,0.0,659.0652173913044,0.927536231884058,0.07246376811594202,421.71078431372547,0.9754901960784313,0.02450980392156865
93,391.21379310344827,0.9793103448275862,0.020689655172413834,546.4,0.9428571428571428,0.05714285714285716,282.56190476190477,0.919047619047619,0.080952380952381
94,558.3586206896551,1.0,0.0,983.0,0.9622641509433962,0.037735849056603765,437.8695652173913,0.9565217391304348,0.04347826086956519
96,498.6620689655172,0.993103448275862,0.006896551724137945,894.9626865671642,0.9850746268656716,0.014925373134328401,396.6736842105263,0.9368421052631579,0.06315789473684208
97,387.0551724137931,0.9655172413793104,0.03448275862068961,745.0526315789474,0.9473684210526315,0.052631578947368474,362.175,0.95,0.050000000000000044
98,352.63448275862066,0.9724137931034482,0.02758620689655178,553.3,0.9428571428571428,0.05714285714285716,276.21860465116276,0.9162790697674419,0.08372093023255811
99,417.09655172413795,1.0,0.0,595.3285714285714,0.9571428571428572,0.042857142857142816,326.63592233009706,0.9466019417475728,0.05339805825242716
100,445.0344827586207,0.9862068965517241,0.01379310344827589,762.9343065693431,0.9343065693430657,0.06569343065693434,365.2173913043478,0.9192546583850931,0.08074534161490687
101,621.6206896551724,1.0,0.0,928.7862595419847,0.8778625954198473,0.12213740458015265,414.962962962963,0.9523809523809523,0.04761904761904767
102,511.8,0.9724137931034482,0.02758620689655178,789.043795620438,0.9635036496350365,0.03649635036496346,430.53365384615387,0.9471153846153846,0.05288461538461542
103,393.09655172413795,1.0,0.0,682.1785714285714,0.9571428571428572,0.042857142857142816,290.93367346938777,0.923469387755102,0.07653061224489799
104,387.77241379310345,0.9724137931034482,0.02758620689655178,814.8962962962963,0.9407407407407408,0.059259259259259234,278.39181286549706,0.9064327485380117,0.0935672514619883
105,376.42758620689654,0.9793103448275862,0.020689655172413834,616.7785714285715,0.95,0.050000000000000044,340.4037558685446,0.9389671361502347,0.06103286384976525
106,363.1034482758621,0.9655172413793104,0.03448275862068961,510.0143884892086,0.8992805755395683,0.1007194244604317,303.9583333333333,0.8869047619047619,0.11309523809523814
107,482.8344827586207,0.9793103448275862,0.020689655172413834,726.6058394160584,0.9781021897810219,0.021897810218978075,362.6954314720812,0.9543147208121827,0.045685279187817285
108,438.8965517241379,1.0,0.0,996.990099009901,0.9504950495049505,0.04950495049504955,520.8137254901961,0.9705882352941176,0.02941176470588236
109,554.4965517241379,0.993103448275862,0.006896551724137945,723.956204379562,0.9708029197080292,0.029197080291970767,342.0680628272251,0.9528795811518325,0.04712041884816753
110,458.4344827586207,1.0,0.0,970.5407407407407,0.9703703703703703,0.029629629629629672,344.3362831858407,0.9026548672566371,0.09734513274336287
111,437.70344827586206,0.9724137931034482,0.02758620689655178,720.6142857142858,0.9642857142857143,0.0357142857142857,321.6682692307692,0.9423076923076923,0.05769230769230771
112,352.07586206896553,0.9379310344827586,0.06206896551724139,516.7,0.9785714285714285,0.021428571428571463,298.88516746411483,0.9521531100478469,0.04784688995215314
113,437.0827586206897,0.993103448275862,0.006896551724137945,1055.5271317829458,0.9922480620155039,0.007751937984496138,351.89756097560974,0.9365853658536586,0.06341463414634141
114,397.9103448275862,0.9379310344827586,0.06206896551724139,800.4817518248175,0.8905109489051095,0.10948905109489049,287.008547008547,0.905982905982906,0.09401709401709402
115,475.7586206896552,1.0,0.0,1134.5688073394494,0.9724770642201835,0.02752293577981646,411.75233644859816,0.9345794392523364,0.06542056074766356
116,466.5241379310345,0.9862068965517241,0.01379310344827589,720.5323741007194,0.9784172661870504,0.021582733812949617,310.67088607594934,0.8860759493670886,0.11392405063291144
117,384.19310344827585,0.9793103448275862,0.020689655172413834,852.9124087591241,0.9854014598540146,0.014598540145985384,328.2112676056338,0.9389671361502347,0.06103286384976525
118,584.0413793103448,0.9862068965517241,0.01379310344827589,1015.4586466165414,0.924812030075188,0.07518796992481203,632.0357142857143,0.9017857142857143,0.0982142857142857
119,497.1862068965517,0.993103448275862,0.006896551724137945,669.1824817518249,0.9781021897810219,0.021897810218978075,417.1648936170213,0.9627659574468085,0.037234042553191515
120,647.3724137931034,0.9551724137931035,0.04482758620689653,901.95,0.9708333333333333,0.029166666666666674,566.6992481203008,0.9022556390977443,0.09774436090225569
121,459.7448275862069,0.9793103448275862,0.020689655172413834,1218.2342342342342,0.9459459459459459,0.05405405405405406,331.22330097087377,0.8980582524271845,0.10194174757281549
122,439.51724137931035,1.0,0.0,831.3405797101449,0.9927536231884058,0.007246376811594235,291.8424242424242,0.9151515151515152,0.08484848484848484
123,528.0275862068966,0.993103448275862,0.006896551724137945,891.3233082706766,0.9624060150375939,0.03759398496240607,264.64285714285717,0.9285714285714286,0.0714285714285714
124,378.11724137931037,0.9862068965517241,0.01379310344827589,661.9420289855072,0.9782608695652174,0.021739130434782594,354.49029126213594,0.970873786407767,0.029126213592232997
125,366.9655172413793,0.9793103448275862,0.020689655172413834,696.25,0.9857142857142858,0.014285714285714235,360.48039215686276,0.9705882352941176,0.02941176470588236
126,472.1448275862069,1.0,0.0,748.8201438848921,0.9928057553956835,0.007194244604316502,282.45180722891564,0.9216867469879518,0.07831325301204817
127,442.7103448275862,0.993103448275862,0.006896551724137945,815.6594202898551,0.9710144927536232,0.02898550724637683,340.0956937799043,0.9330143540669856,0.06698564593301437
128,507.9793103448276,0.993103448275862,0.006896551724137945,1064.0,0.9669421487603306,0.03305785123966942,394.340206185567,0.9123711340206185,0.08762886597938147
129,363.8965517241379,0.9793103448275862,0.020689655172413834,600.1428571428571,0.9285714285714286,0.0714285714285714,309.192118226601,0.916256157635468,0.08374384236453203
130,613.5241379310345,0.9862068965517241,0.01379310344827589,879.731884057971,0.9565217391304348,0.04347826086956519,316.60571428571427,0.9257142857142857,0.07428571428571429
131,379.2896551724138,0.9793103448275862,0.020689655172413834,594.5857142857143,0.9571428571428572,0.042857142857142816,416.23383084577114,0.9950248756218906,0.00497512437810943
132,514.2620689655172,0.9862068965517241,0.01379310344827589,838.8623188405797,0.9855072463768116,0.01449275362318836,309.53809523809525,0.9238095238095239,0.07619047619047614
133,399.5310344827586,0.993103448275862,0.006896551724137945,866.4160583941606,0.9708029197080292,0.029197080291970767,414.08653846153845,0.9423076923076923,0.05769230769230771
134,420.6,1.0,0.0,763.4214285714286,0.9571428571428572,0.042857142857142816,395.2227722772277,0.9653465346534653,0.034653465346534684
135,459.6965517241379,1.0,0.0,788.5571428571428,1.0,0.0,432.2451923076923,0.9423076923076923,0.05769230769230771
136,530.1724137931035,0.993103448275862,0.006896551724137945,1126.9105691056911,0.8211382113821138,0.17886178861788615,422.75757575757575,0.9393939393939394,0.06060606060606055
137,457.06206896551726,0.9862068965517241,0.01379310344827589,678.6043165467626,0.9712230215827338,0.02877697841726623,591.8311688311688,0.935064935064935,0.06493506493506496
138,337.4413793103448,0.9379310344827586,0.06206896551724139,769.4492753623189,0.9347826086956522,0.06521739130434778,317.7330097087379,0.9271844660194175,0.07281553398058249
