subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate,stroop_rt_std,stroop_rt_mean_recalc,stroop_rt_median,stroop_congruent_rt,stroop_incongruent_rt,stroop_interference,flanker_rt_std,flanker_rt_mean_recalc,flanker_rt_median,flanker_congruent_rt,flanker_incongruent_rt,flanker_interference
62,393.88965517241377,1.0,0.0,646.1167883211679,0.9854014598540146,0.0145985401459853,293.3768115942029,0.9227053140096618,0.0772946859903381,182.37983829732292,643.6592592592592,602.0,595.463768115942,694.0454545454545,98.5816864295125,40.63593737235881,393.88965517241377,392.0,384.4246575342466,403.4861111111111,19.061453576864494
63,413.6344827586207,0.986206896551724,0.0137931034482758,714.7773722627737,0.9744525547445256,0.0255474452554744,336.17302052785925,0.9501466275659824,0.0498533724340175,326.4258955721603,742.2536764705883,665.0,736.8235294117648,747.6838235294117,10.860294117646959,83.29023417436767,414.006993006993,401.5,394.44444444444446,433.84507042253523,39.40062597809077
64,411.7862068965517,0.9655172413793104,0.0344827586206896,592.6357142857142,0.9857142857142858,0.0142857142857142,346.0145631067961,0.9660194174757282,0.0339805825242718,145.00887467050558,594.3550724637681,566.0,577.7164179104477,610.056338028169,32.33992011772125,79.52615676276135,412.47857142857146,398.0,384.06849315068496,443.43283582089555,59.36434267021059
65,377.4758620689655,0.993103448275862,0.0068965517241379,790.0935251798561,0.9640287769784172,0.0359712230215827,297.8632075471698,0.9245283018867924,0.0754716981132075,313.7815968906775,805.1111111111111,738.0,751.2307692307693,855.1428571428571,103.91208791208783,53.305601309099146,378.0486111111111,376.5,366.9178082191781,389.49295774647885,22.575149527300766
66,423.3724137931035,0.9896551724137932,0.0103448275862069,615.4214285714286,0.9892857142857144,0.0107142857142856,376.21014492753625,0.966183574879227,0.0338164251207729,141.35852555592368,615.1877256317689,595.0,608.4160583941606,621.8142857142857,13.398227320125102,67.59018802830636,423.57839721254356,414.0,400.78767123287673,447.177304964539,46.389633731662286
67,407.4896551724138,0.993103448275862,0.0068965517241379,773.3695652173913,0.9782608695652174,0.0217391304347825,334.4,0.9560975609756096,0.0439024390243902,394.7741655669168,789.5839416058394,647.0,738.3714285714286,843.0895522388059,104.71812366737731,77.82431827118381,408.06944444444446,392.0,385.48571428571427,429.43243243243245,43.94671814671818
68,336.65862068965515,0.9689655172413794,0.0310344827586206,678.1611721611722,0.9487179487179488,0.0512820512820513,296.8412698412698,0.9391534391534392,0.0608465608465608,349.41351062976565,709.8365019011407,598.0,666.5,754.8527131782946,88.35271317829461,71.49779576453096,337.1814946619217,329.0,329.65492957746477,344.8705035971223,15.215574019657538
69,396.4827586206897,0.993103448275862,0.0068965517241379,599.1642857142857,0.9571428571428572,0.0428571428571428,284.0235294117647,0.9058823529411764,0.0941176470588235,148.31421258912061,598.8283582089553,576.0,556.5882352941177,642.3484848484849,85.76024955436719,52.77400285031805,396.59722222222223,390.0,388.4366197183099,404.5342465753425,16.097626857032594
70,379.43055555555554,0.9305555555555556,0.0694444444444444,716.3785714285714,0.9357142857142856,0.0642857142857142,323.7179487179488,0.9230769230769232,0.0769230769230768,262.58829323483025,714.1374045801526,634.0,662.4347826086956,771.6774193548387,109.24263674614303,87.61863016462074,385.5970149253731,368.0,381.57971014492756,389.8615384615385,8.281828316610927
71,694.5724137931035,0.9655172413793104,0.0344827586206896,1174.260162601626,0.991869918699187,0.008130081300813,452.1161616161616,0.9444444444444444,0.0555555555555555,520.8059588274208,1248.076923076923,1256.5,1180.6376811594203,1324.360655737705,143.72297457828472,212.45846459437806,683.0714285714286,662.5,652.0579710144928,713.2112676056338,61.15329659114104
